feor,occupation_description,hs6,machine_description
8111,Food products machine operators,841720,"Bakery ovens, etc non-electric"
8111,Food products machine operators,841931,Dryers for agricultural products
8111,Food products machine operators,842111,Cream separators
8111,Food products machine operators,843710,"Machines to clean, sort, grade seed,grain, dry legumes"
8111,Food products machine operators,843780,Machines to mill or work cereals or dried legumes nes
8111,Food products machine operators,843810,Bakery and pasta making machinery
8111,Food products machine operators,843820,"Machines, confectionery, cocoa, chocolate manufacture"
8111,Food products machine operators,843830,Machinery for sugar refining and manufacture
8111,Food products machine operators,843850,Machinery for the preparation of meat and poultry
8111,Food products machine operators,843860,"Machinery for preparation of fruits, nuts, vegetables"
8111,Food products machine operators,843880,"Industrial machinery nes for food, drink preparation"
8111,Food products machine operators,847920,Machines to process animal or fixed veg fats or oils
8111,Food products machine operators,903210,Thermostats
8112,Beverage products machine operators,842122,Filtering/purifying machinery/apparatus for beverages
8112,Beverage products machine operators,842220,Machinery for cleaning/drying bottles/containers nes
8112,Beverage products machine operators,843510,"Presses, crushers etc for wine, fruit juice, beverages"
8112,Beverage products machine operators,843840,Brewery machinery
8112,Beverage products machine operators,843880,"Industrial machinery nes for food, drink preparation"
8113,Tobacco products machine operators,847810,Machinery for preparing or making up tobacco
8121,Textile industry machine operators and production line workers,842010,"Calendering or rolling machines, not. for metals/glass"
8121,Textile industry machine operators and production line workers,844400,"Machines to extrude, draw, cut manmade textile fibres"
8121,Textile industry machine operators and production line workers,844511,Textile fibre carding machines
8121,Textile industry machine operators and production line workers,844512,Textile fibre combing machines
8121,Textile industry machine operators and production line workers,844513,Textile fibre drawing or roving machines
8121,Textile industry machine operators and production line workers,844519,Textile fibre preparing machines nes
8121,Textile industry machine operators and production line workers,844520,Textile yarn spinning machines
8121,Textile industry machine operators and production line workers,844530,Textile yarn doubling or twisting machines
8121,Textile industry machine operators and production line workers,844540,Textile yarn winding or reeling machines
8121,Textile industry machine operators and production line workers,844590,Machinery for producing or preparing textile yarn nes
8121,Textile industry machine operators and production line workers,844610,"Machines for weaving fabric, width < 30 cm"
8121,Textile industry machine operators and production line workers,844621,Shuttle type power loom for weaving fabric >30cm wide
8121,Textile industry machine operators and production line workers,844629,Shuttle type looms nes for weaving fabric >30cm wide
8121,Textile industry machine operators and production line workers,844630,Shuttle-less looms for weaving fabric >30cm wide
8121,Textile industry machine operators and production line workers,844720,"Flat knitting machines, stitch-bonding machines"
8121,Textile industry machine operators and production line workers,844900,"Machinery for making felt, nonwovens, including hats"
8121,Textile industry machine operators and production line workers,845140,"Washing, bleaching or dyeing machines (non-domestic)"
8121,Textile industry machine operators and production line workers,845150,"Machinery to reel, fold, cut, pink, etc textile fabric"
8122,Dressmaking machine operators and production line workers,844400,"Machines to extrude, draw, cut manmade textile fibres"
8122,Dressmaking machine operators and production line workers,845150,"Machinery to reel, fold, cut, pink, etc textile fabric"
8122,Dressmaking machine operators and production line workers,845221,"Automatic sewing machines, other than book-sewing nes"
8122,Dressmaking machine operators and production line workers,845229,"Sewing machines, other than book-sewing machines, nes"
8123,Leather tanning and processing machine operators and production line workers,845310,"Machinery to prepare, tan, work hides, skins, leather"
8123,Leather tanning and processing machine operators and production line workers,845380,"Machinery for leather, skin goods making except sewing"
8124,Shoemaking machine operators and production line workers,845320,Machinery for making or repairing footwear
8125,Wood processing machine operators and production line workers,841932,"Dryers for wood, paper pulp, paper or paperboard"
8125,Wood processing machine operators and production line workers,846510,Multi-purpose machines for wood etc work
8125,Wood processing machine operators and production line workers,846591,"Sawing machines for working wood, cork, etc"
8125,Wood processing machine operators and production line workers,846592,"Planing and milling machines for wood, cork, etc"
8125,Wood processing machine operators and production line workers,846593,"Grinding, sanding, polishing machines for wood, et c"
8125,Wood processing machine operators and production line workers,846594,"Bending or assembling machines for wood, etc"
8125,Wood processing machine operators and production line workers,846595,"Drilling or morticing machines for wood, etc"
8125,Wood processing machine operators and production line workers,846596,"Splitting, slicing or paring machines for wood, etc"
8125,Wood processing machine operators and production line workers,846599,"Machine tools for wood, cork or hard plastic, etc nes"
8125,Wood processing machine operators and production line workers,846781,Chain saws
8125,Wood processing machine operators and production line workers,847930,"Presses for particle, fibre board, etc manufacture"
8126,Paper and pulp industry machine operators,841932,"Dryers for wood, paper pulp, paper or paperboard"
8126,Paper and pulp industry machine operators,843910,Machinery for pulping fibrous cellulosic material
8126,Paper and pulp industry machine operators,843920,Machinery for making paper or paperboard
8126,Paper and pulp industry machine operators,843930,Machinery for finishing paper or paperboard
8126,Paper and pulp industry machine operators,844110,"Cutting machines for paper pulp, paper or paperboard"
8126,Paper and pulp industry machine operators,844120,"Machines for making paper/board bags, sacks, envelopes"
8126,Paper and pulp industry machine operators,844130,"Machines making paper/board boxes etc, except moulded"
8126,Paper and pulp industry machine operators,844140,"Machines for moulding articles in pulp, paper, board"
8126,Paper and pulp industry machine operators,844180,"Machinery for making up pulp, paper, paperboard nes"
8127,Printing machine operators,844210,Photo-typesetting and composing machines
8127,Printing machine operators,844220,Typesetting equipment other than photo
8127,Printing machine operators,844230,Machinery/equipment for print preparation nes
8127,Printing machine operators,844311,Reel fed offset printing machinery
8127,Printing machine operators,844312,"Sheet fed, office offset printers, sheet < 22x36 cm"
8127,Printing machine operators,844319,Offset printing machinery nes
8127,Printing machine operators,844321,Reel fed letterpress printers except flexographic
8127,Printing machine operators,844329,Letterpress printing machinery nes except flexographic
8127,Printing machine operators,844330,Flexographic printing machinery
8127,Printing machine operators,844340,Gravure printing machinery
8127,Printing machine operators,844351,Ink-jet printing machine
8127,Printing machine operators,844359,Printing machinery nes
8127,Printing machine operators,844360,Machines for uses ancillary to printing
8131,Petroleum refinery and processing machine operators,841940,Distilling or rectifying plant
8131,Petroleum refinery and processing machine operators,842123,Oil/petrol filters for internal combustion engines
8131,Petroleum refinery and processing machine operators,850153,"AC motors, multi-phase, of an output > 75 kW"
8132,Gas making and processing machine operators,841620,"Furnace burners for solid, gas or combination fuel"
8132,Gas making and processing machine operators,842139,Filtering or purifying machinery for gases nes
8132,Gas making and processing machine operators,902680,"Equipment to measure, check gas/liquid properties nes"
8132,Gas making and processing machine operators,902710,Gas/smoke analysis apparatus
8132,Gas making and processing machine operators,902810,Gas supply/production/calibration meters
8133,Basic chemicals and chemical products machine operators,842119,Centrifuges nes
8133,Basic chemicals and chemical products machine operators,842129,Filtering/purifying machinery for liquids nes
8133,Basic chemicals and chemical products machine operators,842139,Filtering or purifying machinery for gases nes
8133,Basic chemicals and chemical products machine operators,902610,Equipment to measure or check liquid flow or level
8133,Basic chemicals and chemical products machine operators,902710,Gas/smoke analysis apparatus
8133,Basic chemicals and chemical products machine operators,902780,"Equipment for physical or chemical analysis, nes"
8134,Pharmaceutical products machine operators,841920,"Medical, surgical or laboratory sterilizers"
8134,Pharmaceutical products machine operators,842119,Centrifuges nes
8134,Pharmaceutical products machine operators,842330,"Constant weight scales, including hopper scales"
8134,Pharmaceutical products machine operators,902780,"Equipment for physical or chemical analysis, nes"
8136,Plastic processing machine operators,842010,"Calendering or rolling machines, not. for metals/glass"
8136,Plastic processing machine operators,846599,"Machine tools for wood, cork or hard plastic, etc nes"
8136,Plastic processing machine operators,847740,"Rubber or plastic vacuum moulders, thermoformers"
8136,Plastic processing machine operators,847759,Rubber or plastic moulding and forming machines nes
8136,Plastic processing machine operators,847780,"Rubber or plastic working machines, nes"
8137,"Rubber goods manufacturers, vulcanizers",847710,Injection-moulding machines for rubber or plastic
8137,"Rubber goods manufacturers, vulcanizers",847720,Extruders for working rubber or plastic
8137,"Rubber goods manufacturers, vulcanizers",847730,Blow moulding machines for rubber or plastic
8137,"Rubber goods manufacturers, vulcanizers",847740,"Rubber or plastic vacuum moulders, thermoformers"
8137,"Rubber goods manufacturers, vulcanizers",847751,"Pneumatic tyre moulding and retreading machinery, etc"
8137,"Rubber goods manufacturers, vulcanizers",847759,Rubber or plastic moulding and forming machines nes
8137,"Rubber goods manufacturers, vulcanizers",847780,"Rubber or plastic working machines, nes"
8141,Ceramic products machine operators,841780,"Industrial furnace, oven, incinerator non-electric nes"
8141,Ceramic products machine operators,846410,"Sawing machines for stone, ceramics and glass"
8141,Ceramic products machine operators,846420,"Grinding/polishing machines for stone, ceramics, glass"
8141,Ceramic products machine operators,846490,"Machine tools nes for stone, ceramics and cold glass"
8142,Fine ceramics products machine operators,841780,"Industrial furnace, oven, incinerator non-electric nes"
8142,Fine ceramics products machine operators,846420,"Grinding/polishing machines for stone, ceramics, glass"
8142,Fine ceramics products machine operators,846490,"Machine tools nes for stone, ceramics and cold glass"
8143,Glass and glass products machine operators,841780,"Industrial furnace, oven, incinerator non-electric nes"
8143,Glass and glass products machine operators,846410,"Sawing machines for stone, ceramics and glass"
8143,Glass and glass products machine operators,846420,"Grinding/polishing machines for stone, ceramics, glass"
8143,Glass and glass products machine operators,846490,"Machine tools nes for stone, ceramics and cold glass"
8143,Glass and glass products machine operators,847521,Mach for manuf optical f
8143,Glass and glass products machine operators,847529,Mach for manuf glass or
8144,Concrete building block machine operators,841340,Concrete pumps
8144,Concrete building block machine operators,847431,Concrete or mortar mixing machines
8144,Concrete building block machine operators,870540,Mobile concrete mixers
8149,Building materials industry machine operators not elsewhere classified,846420,"Grinding/polishing machines for stone, ceramics, glass"
8191,Metallurgical machine operators,841710,Furnaces/ovens non-electric for ores/pyrites/metals
8191,Metallurgical machine operators,845410,Converters used in metallurgy or metal foundries
8191,Metallurgical machine operators,845420,Ingot moulds and ladles used in metallurgy/foundries
8191,Metallurgical machine operators,845430,"Casting machines used in metallurgy, foundries"
8191,Metallurgical machine operators,845521,"Hot, or combination hot-cold metal rolling mills"
8191,Metallurgical machine operators,846210,"Machine tools to forge, stamp, hammer or press metals"
8191,Metallurgical machine operators,846299,"Metal shaping presses, nes"
8192,Metal working machine operators,845510,"Tube mills, metal rolling"
8192,Metal working machine operators,845630,Electro-discharge process machine tools
8192,Metal working machine operators,845691,Mach-tls f dry-etching p
