feor,occupation_description
8111,Food products machine operators
8112,Beverage products machine operators
8113,Tobacco products machine operators
8121,Textile industry machine operators and production line workers
8122,Dressmaking machine operators and production line workers
8123,Leather tanning and processing machine operators and production line workers
8124,Shoemaking machine operators and production line workers
8125,Wood processing machine operators and production line workers
8126,Paper and pulp industry machine operators
8127,Printing machine operators
8131,Petroleum refinery and processing machine operators
8132,Gas making and processing machine operators
8133,Basic chemicals and chemical products machine operators
8134,Pharmaceutical products machine operators
8136,Plastic processing machine operators
8137,"Rubber goods manufacturers, vulcanizers"
8141,Ceramic products machine operators
8142,Fine ceramics products machine operators
8143,Glass and glass products machine operators
8144,Concrete building block machine operators
8149,Building materials industry machine operators not elsewhere classified
8191,Metallurgical machine operators
8192,Metal working machine operators
8199,"Processing machine operators, production line workers not elsewhere classified"
8211,Solid minerals extraction machine operators
8219,Mining-plant operators not elsewhere classified
8221,Power-production and transformation plant mechanics and operators
8222,Coal- or oil-fired power-generating plant operators
8224,Hydroelectric power-generating station mechanics and machine operators
8229,Power production and related plant operators not elsewhere classified
8231,Water works machine operators
8232,Sewage plant operators
8233,Water pump operators
8240,Packaging machine operators
8291,Boiler operators (licensed boilermen)
8292,Decontaminating machine and equipment operators
8293,"Agricultural machine operators, mechanics"
8299,Other non manufacturing machine operators not elsewhere classified
8311,Agricultural engine drivers and operators
8312,Forestry plant operators
8313,Plant protection machine operators
8319,"Agricultural and forestry mobile-plant drivers, operators not elsewhere classified"
8321,Earth moving equipment operators
8322,Groundwork machine operators
8323,"Road, bridge and railroad building machine operators"
8324,Hydromechanical and floating plant operators
8325,Well drilling machine operators
8329,Construction machine operators not elsewhere classified
8341,Crane operators
8342,Elevator and conveying machine operators
8343,Lift trolley operators
8344,Loading/unloading machine operators
8349,Material conveying machine operators not elsewhere classified
